candidateId,sourceFile,predictedJointClass,predictedLinkType,predictedProtocolFamily,classificationConfidence,linkConfidence,protocolConfidence,classificationMargin,pUnknown,unknownRejected,unknownDecisionReason,candidateStartSec,candidateEndSec,sampleRateHz,captureCenterFrequencyHz,candidateCenterOffsetHz,centerFrequencyHz,bandwidthHz,coarseCfoHz,framePeriodEstimateSec,frameStructureScore,preambleRepeatScore,syncStrategy,fftCpHint,parserTemplateId,modelFidelity,evidenceLevel,claimBoundary,payloadEncoding,decoderRequirement,candidateIqArtifact,artifactAvailable,recommendedGuardSec,truthFramesOverlappedForEvaluation
sim_autel_wideband_012_M001,sim_autel_wideband_012,Autel_Wideband_Video_Data_like,Wideband_Video_Data,Autel_SkyLink_like,0.487333333333333,0.487333333333333,0.487333333333333,0.0896666666666668,0.0543333333333333,0,随机森林：置信度=0.487，间隔=0.090,0.0103520833333333,0.03,30720000,5800000000,570000,5800570000,14180000,-1127970.37620106,0.000968424479166666,0.644948632781836,0.0478825743531294,SkyLink-like代理：多numerology盲CP/前导族搜索与多帧对齐,"私有代理：512/1024/2048等多候选FFT与不同CP，仅供盲同步测试",AUTEL_SKYLINK_PROXY_WIDEBAND_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_012_M001.mat,1,0.0006,15
sim_autel_wideband_014_M002,sim_autel_wideband_014,Autel_Wideband_Video_Data_like,Wideband_Video_Data,Autel_SkyLink_like,0.354066666666667,0.354066666666667,0.354066666666667,0.1554,0.0511666666666666,0,随机森林：置信度=0.354，间隔=0.155,0.002275,0.0258,30720000,5800000000,990000,5800990000,16100000,865291.987168037,0.000825781250000001,0.669966916949244,0.054822042876612,SkyLink-like代理：多numerology盲CP/前导族搜索与多帧对齐,"私有代理：512/1024/2048等多候选FFT与不同CP，仅供盲同步测试",AUTEL_SKYLINK_PROXY_WIDEBAND_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_014_M002.mat,1,0.0006,20
sim_autel_wideband_015_M001,sim_autel_wideband_015,Autel_Wideband_Video_Data_like,Wideband_Video_Data,Autel_SkyLink_like,0.617666666666667,0.617666666666667,0.617666666666667,0.468,0.0318333333333334,0,随机森林：置信度=0.618，间隔=0.468,0.00116041666666667,0.0297479166666667,30720000,2437500000,-8220000,2429280000,13760000,1041804.9972567,0.000740104166666667,0.689208655069619,0.047602975011867,SkyLink-like代理：多numerology盲CP/前导族搜索与多帧对齐,"私有代理：512/1024/2048等多候选FFT与不同CP，仅供盲同步测试",AUTEL_SKYLINK_PROXY_WIDEBAND_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_015_M001.mat,1,0.0006,20
sim_autel_wideband_017_M001,sim_autel_wideband_017,Autel_Wideband_Video_Data_like,Wideband_Video_Data,Autel_SkyLink_like,0.806333333333333,0.806333333333333,0.806333333333333,0.679666666666667,0.0213333333333333,0,随机森林：置信度=0.806，间隔=0.680,0,0.0184916666666667,30720000,2437500000,-4620000,2432880000,18080000,1155981.54969301,0.000773144531250001,0.619584322607819,0.0277010552740412,SkyLink-like代理：多numerology盲CP/前导族搜索与多帧对齐,"私有代理：512/1024/2048等多候选FFT与不同CP，仅供盲同步测试",AUTEL_SKYLINK_PROXY_WIDEBAND_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_017_M001.mat,1,0.0006,20
sim_dji_control_004_M001,sim_dji_control_004,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.7299,0.7299,0.7299,0.574066666666667,0.0780999999999999,0,随机森林：置信度=0.730，间隔=0.574,0.000791666666666667,0.0194125,30720000,5800000000,9115000,5809115000,12430000,740958.965031891,0.001261962890625,0.508342146638003,0.0663169861736548,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_004_M001.mat,1,0.0006,9
sim_dji_control_005_M011,sim_dji_control_005,Unknown_UAV_like,Unknown_UAV_Link,Unknown_Protocol,0.492233333333334,0.492233333333334,0.492233333333334,0.2758,0.216433333333333,1,随机森林高未知支撑二级门控：置信度=0.492，间隔=0.276，未知概率=0.216,0,0.03,30720000,2437500000,10165000,2447665000,10330000,261638.011237594,0.000964843750000001,0.485845221209806,0.136925026600414,未知重复模式/近邻OFDM/突发聚类；仅输出候选结构和置信度,"unknown/open-set：盲估计",UNKNOWN_DISCOVERY_TEMPLATE_V2,D,通用体制和近邻未知设计,开放集压力样本，不代表真实未知协议总体,OPEN_SET_STRESS_PAYLOAD,盲结构发现，仅输出候选边界/周期/置信度,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_005_M011.mat,1,0.0006,12
sim_dji_control_017_M001,sim_dji_control_017,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.633,0.633,0.633,0.465166666666667,0.0891666666666667,0,随机森林：置信度=0.633，间隔=0.465,0,0.0113666666666667,30720000,2437500000,3090000,2440590000,13580000,-571909.161609875,0.00111962890625,0.476659498457742,0.0450525583845983,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_017_M001.mat,1,0.0006,5
sim_dji_control_021_M001,sim_dji_control_021,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.472666666666666,0.472666666666666,0.472666666666666,0.130833333333333,0.112833333333333,0,随机森林：置信度=0.473，间隔=0.131,0.0113791666666667,0.03,30720000,2437500000,-10315000,2427185000,10150000,1046462.46457685,0.00093427734375,0.508503596570692,0.0645801241159993,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_021_M001.mat,1,0.0006,7
sim_dji_control_022_M001,sim_dji_control_022,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.352333333333333,0.352333333333333,0.352333333333333,0.0273333333333334,0.140833333333333,0,随机森林：置信度=0.352，间隔=0.027,0.00736041666666667,0.0271395833333333,30720000,5800000000,8815000,5808815000,13030000,854142.950092095,0.000849609375000001,0.510936316842865,0.10973615248111,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_022_M001.mat,1,0.0006,7
sim_dji_control_029_M001,sim_dji_control_029,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.815066666666667,0.815066666666667,0.815066666666667,0.721733333333333,0.082,0,随机森林：置信度=0.815，间隔=0.722,0.0104166666666667,0.02569375,30720000,2437500000,-7555000,2429945000,15670000,274705.609491875,0.00130455729166667,0.478420446322015,0.0766390829502178,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_029_M001.mat,1,0.0006,8
sim_dji_control_030_M002,sim_dji_control_030,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.784166666666667,0.784166666666667,0.784166666666667,0.6355,0.148666666666667,0,随机森林：置信度=0.784，间隔=0.635,0.0148644270833333,0.0197272395833333,30720000,5800000000,10135000,5810135000,10390000,1225428.7008696,0.001111669921875,0.537708794997571,0.0322194800657534,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_control_030_M002.mat,1,0.0006,3
sim_dji_droneid_010_M001,sim_dji_droneid_010,Autel_Control_C2_like,Control_C2,Autel_SkyLink_like,0.339166666666666,0.339166666666666,0.339166666666666,0.0181666666666659,0.0565,0,随机森林：置信度=0.339，间隔=0.018,0.0144847916666667,0.0197214583333333,30720000,2437500000,8215000,2445715000,14230000,-2060052.4139944,0.001249658203125,0.592015292199541,0.0456826544074322,SkyLink-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或窄带OFDM多候选，不得固定写成真实SkyLink参数",AUTEL_SKYLINK_PROXY_CONTROL_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_droneid_010_M001.mat,1,0.0006,1
sim_dji_droneid_013_M001,sim_dji_droneid_013,DJI_DroneID_like,Identity_Broadcast,DJI_DroneID_like,0.911666666666667,0.911666666666667,0.911666666666667,0.873,0.007,0,随机森林：置信度=0.912，间隔=0.873,0.0192122916666667,0.0246522916666667,30720000,2437500000,-8220000,2429280000,14240000,-238181.094086965,0.00015,0.30591119258821,0,公开基线：谱中心/CFO + 15.36Msps等效重采样 + ZC roots 600/147 + CP 80/72 + 9符号对齐,"公开协议域：Fs=15.36Msps,NFFT=1024,CP=[80,72x7,80],9 symbols,ZC roots 600/147；采集域按Fs重采样",DJI_DRONEID_PUBLIC_PHY_ENGINEERING_PAYLOAD_V2,A,15.36Msps、1024FFT、9符号、CP80/72、ZC600/147、601个中心位置/600个QPSK数据载波,公开物理层基线，不是完整DJI私有解码器,ENGINEERING_BITS_MAPPED_TO_PUBLIC_DRONEID_PHY,模块3按公开ZC/CP对齐；后续真实字节恢复仍需信道估计、QPSK解调、解扰、Turbo/速率匹配与deframe,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_droneid_013_M001.mat,1,0.0006,1
sim_dji_droneid_014_M001,sim_dji_droneid_014,DJI_DroneID_like,Identity_Broadcast,DJI_DroneID_like,0.931,0.931,0.931,0.869,0.004,0,随机森林：置信度=0.931，间隔=0.869,0.0106272916666667,0.0163539583333333,30720000,2437500000,8095000,2445595000,14470000,-1562793.90080721,0.001663232421875,0.716751024015889,0.0451930846741003,公开基线：谱中心/CFO + 15.36Msps等效重采样 + ZC roots 600/147 + CP 80/72 + 9符号对齐,"公开协议域：Fs=15.36Msps,NFFT=1024,CP=[80,72x7,80],9 symbols,ZC roots 600/147；采集域按Fs重采样",DJI_DRONEID_PUBLIC_PHY_ENGINEERING_PAYLOAD_V2,A,15.36Msps、1024FFT、9符号、CP80/72、ZC600/147、601个中心位置/600个QPSK数据载波,公开物理层基线，不是完整DJI私有解码器,ENGINEERING_BITS_MAPPED_TO_PUBLIC_DRONEID_PHY,模块3按公开ZC/CP对齐；后续真实字节恢复仍需信道估计、QPSK解调、解扰、Turbo/速率匹配与deframe,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_droneid_014_M001.mat,1,0.0006,1
sim_dji_droneid_019_M005,sim_dji_droneid_019,Autel_Control_C2_like,Control_C2,Autel_SkyLink_like,0.423166666666667,0.423166666666667,0.423166666666667,0.1715,0.0495,0,随机森林：置信度=0.423，间隔=0.172,0.01307125,0.0185745833333333,30720000,2437500000,-1350000,2436150000,16940000,3207108.55195411,0.002232421875,0.648672853882889,0.037221608072695,SkyLink-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或窄带OFDM多候选，不得固定写成真实SkyLink参数",AUTEL_SKYLINK_PROXY_CONTROL_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_droneid_019_M005.mat,1,0.0006,1
sim_dji_droneid_022_M001,sim_dji_droneid_022,DJI_DroneID_like,Identity_Broadcast,DJI_DroneID_like,0.8425,0.8425,0.8425,0.72,0.00666666666666666,0,随机森林：置信度=0.843，间隔=0.720,0.00145208333333333,0.0100604166666667,30720000,2437500000,1680000,2439180000,15560000,2499627.77132156,0.00106062825520833,0.587560923950246,0.0627586416378067,公开基线：谱中心/CFO + 15.36Msps等效重采样 + ZC roots 600/147 + CP 80/72 + 9符号对齐,"公开协议域：Fs=15.36Msps,NFFT=1024,CP=[80,72x7,80],9 symbols,ZC roots 600/147；采集域按Fs重采样",DJI_DRONEID_PUBLIC_PHY_ENGINEERING_PAYLOAD_V2,A,15.36Msps、1024FFT、9符号、CP80/72、ZC600/147、601个中心位置/600个QPSK数据载波,公开物理层基线，不是完整DJI私有解码器,ENGINEERING_BITS_MAPPED_TO_PUBLIC_DRONEID_PHY,模块3按公开ZC/CP对齐；后续真实字节恢复仍需信道估计、QPSK解调、解扰、Turbo/速率匹配与deframe,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_droneid_022_M001.mat,1,0.0006,1
sim_dji_droneid_027_M001,sim_dji_droneid_027,Autel_Control_C2_like,Control_C2,Autel_SkyLink_like,0.455333333333333,0.455333333333333,0.455333333333333,0.0216666666666662,0.0431666666666667,0,随机森林：置信度=0.455，间隔=0.022,0.0169354166666667,0.0257625,30720000,2437500000,-9505000,2427995000,11770000,2365168.96182611,0.00137141927083333,0.573106609973178,0.0733146562017449,SkyLink-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或窄带OFDM多候选，不得固定写成真实SkyLink参数",AUTEL_SKYLINK_PROXY_CONTROL_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_dji_droneid_027_M001.mat,1,0.0006,1
